pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,gross_R,friction_R,net_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
bbccc|bc,1.0,3.0,3.0,393,374,4.8,0,17.38,23.41,23.32,25.0,-6.03,-0.2412,-0.3048,0.2169,-0.5217,-2.76,0.005833571610395424,-2.5,0.01249175771903726,0.009950248756218905,0/4,0.0,False,False
aaaaa|ab,0.5,1.0,2.0,3420,3419,0.0,0,34.28,32.28,32.29,33.33,2.0,0.06,0.0284,0.3967,-0.3683,2.5,0.012392741128152711,2.5,0.012401959496576135,0.014925373134328358,3/4,0.75,False,False
ccccc|bc,0.5,1.0,2.0,895,895,0.0,0,28.38,32.26,32.29,33.33,-3.88,-0.1163,-0.1486,0.4418,-0.5904,-2.48,0.013096292263050141,-2.49,0.012844292307940312,0.01990049751243781,1/4,0.25,False,False
abaaa|aa,1.0,1.0,1.0,432,432,0.0,0,55.32,49.22,49.29,50.0,6.11,0.1222,0.1065,0.1979,-0.0914,2.54,0.011052269354926174,2.48,0.013216600796237555,0.014925373134328358,3/4,0.75,False,False
aaaba|ca,0.5,1.0,2.0,1049,1049,0.0,0,35.65,32.28,32.29,33.33,3.37,0.1012,0.0696,0.4028,-0.3332,2.34,0.019388390230302987,2.48,0.013192546379938015,0.014925373134328358,4/4,1.0,False,False
dcddd|cc,1.0,1.0,1.0,425,425,0.0,0,43.06,49.21,49.29,50.0,-6.15,-0.1229,-0.1388,0.2003,-0.3391,-2.54,0.01120923213042872,-2.48,0.013050466700118822,0.024875621890547265,0/4,0.0,False,False
bbaaa|aa,1.0,3.0,3.0,446,427,4.3,0,28.1,23.25,23.32,25.0,4.85,0.194,0.1241,0.2097,-0.0856,2.37,0.017552418613387466,2.47,0.01349491441871995,0.01990049751243781,4/4,1.0,False,False
dcddd|bc,1.0,3.0,3.0,414,391,5.6,0,17.65,23.3,23.32,25.0,-5.65,-0.2262,-0.2941,0.2019,-0.496,-2.65,0.00810582607238562,-2.47,0.013476178088961057,0.024875621890547265,0/4,0.0,False,False
ccccd|bc,0.5,1.0,2.0,525,525,0.0,0,27.24,32.39,32.29,33.33,-5.15,-0.1546,-0.1829,0.4304,-0.6133,-2.52,0.011613417032585692,-2.46,0.013864262127082635,0.014925373134328358,0/4,0.0,False,False
bbaaa|aa,1.0,2.0,2.0,446,438,1.8,0,38.13,32.36,32.45,33.33,5.77,0.173,0.1438,0.2097,-0.0659,2.58,0.009852876518622405,2.45,0.01437223056244976,0.024875621890547265,4/4,1.0,False,False
cdddd|ac,0.5,3.0,6.0,482,473,1.9,0,17.34,13.21,13.24,14.29,4.12,0.2887,0.2135,0.39,-0.1765,2.65,0.008027684929821218,2.45,0.014095296038773327,0.024875621890547265,3/4,0.75,False,False
bbccc|bc,1.0,1.0,1.0,393,393,0.0,0,43.0,49.31,49.29,50.0,-6.31,-0.1262,-0.1399,0.2169,-0.3568,-2.5,0.012294622588664865,-2.44,0.014602969089866724,0.014925373134328358,0/4,0.0,False,False
bbaaa|aa,1.0,1.0,1.0,446,446,0.0,0,54.93,49.24,49.29,50.0,5.69,0.1139,0.0987,0.2097,-0.111,2.41,0.016108277200756273,2.44,0.014697540831342238,0.014925373134328358,4/4,1.0,False,False
aaaaa|aa,0.5,2.0,4.0,3190,3168,0.7,0,21.09,19.26,19.3,20.0,1.82,0.0911,0.0543,0.3854,-0.3312,2.6,0.009310616524142352,2.42,0.01566052887040235,0.01990049751243781,4/4,1.0,False,False
bcccc|ca,0.5,2.0,4.0,326,324,0.6,0,13.58,19.28,19.3,20.0,-5.7,-0.2849,-0.321,0.4301,-0.7511,-2.6,0.009288198615310057,-2.42,0.015428488720642198,0.03482587064676617,0/4,0.0,False,False
ddddd|cc,0.5,2.0,4.0,3080,3066,0.5,0,17.38,19.28,19.3,20.0,-1.9,-0.0949,-0.1308,0.3932,-0.524,-2.67,0.007664171365209689,-2.41,0.015983606377816997,0.01990049751243781,1/4,0.25,False,False
aabaa|aa,0.5,2.0,4.0,646,644,0.3,0,22.98,19.22,19.3,20.0,3.76,0.1882,0.1491,0.3891,-0.24,2.43,0.015276185592274276,2.4,0.01660739131861469,0.014925373134328358,3/4,0.75,False,False
ccccb|ba,1.0,2.0,2.0,756,746,1.3,0,36.73,32.34,32.45,33.33,4.39,0.1317,0.1019,0.2268,-0.1249,2.56,0.010336461945690052,2.4,0.01656780148965311,0.01990049751243781,4/4,1.0,False,False
aaaaa|ba,1.0,1.0,1.0,3135,3126,0.3,0,51.31,49.33,49.29,50.0,1.99,0.0397,0.0262,0.1948,-0.1685,2.22,0.026311266541583223,2.4,0.01638483283246552,0.009950248756218905,3/4,0.75,False,False
ddddd|ac,1.0,3.0,3.0,2111,2009,4.8,0,20.81,23.12,23.32,25.0,-2.31,-0.0925,-0.1677,0.1933,-0.3611,-2.46,0.013828406916175455,-2.39,0.0166513263381604,0.014925373134328358,0/4,0.0,False,False
dccbc|ac,1.0,3.0,3.0,360,349,3.1,0,17.77,23.28,23.32,25.0,-5.51,-0.2206,-0.2894,0.213,-0.5024,-2.44,0.01468266177142458,-2.39,0.016886531537107098,0.03482587064676617,1/4,0.25,False,False
ccccb|ba,1.0,1.0,1.0,756,754,0.3,0,53.58,49.22,49.29,50.0,4.36,0.0873,0.0716,0.2268,-0.1552,2.4,0.016466384121059743,2.39,0.01674427608133362,0.029850746268656716,4/4,1.0,False,False
abbbc|bc,0.5,1.0,2.0,436,436,0.0,0,27.29,32.3,32.29,33.33,-5.01,-0.1502,-0.1812,0.4235,-0.6047,-2.24,0.025336021418016833,-2.39,0.016812624281559142,0.01990049751243781,1/4,0.25,False,False
dcccc|bb,1.0,3.0,3.0,657,622,5.3,0,19.94,23.39,23.32,25.0,-3.46,-0.1382,-0.2026,0.2154,-0.418,-2.04,0.04159995417989474,-2.38,0.017294127224737478,0.009950248756218905,0/4,0.0,False,False
bbbba|aa,1.0,1.0,1.0,431,431,0.0,0,54.76,49.23,49.29,50.0,5.52,0.1104,0.0951,0.2132,-0.1181,2.29,0.02178512703437932,2.37,0.017660908441338823,0.01990049751243781,4/4,1.0,False,False
bbbaa|ab,0.5,2.0,4.0,548,546,0.4,0,15.38,19.27,19.3,20.0,-3.89,-0.1945,-0.2308,0.4337,-0.6644,-2.31,0.021161681756489293,-2.37,0.01800267995589719,0.01990049751243781,0/4,0.0,False,False
aaaaa|ab,0.5,3.0,6.0,3420,3339,2.4,0,14.53,13.15,13.24,14.29,1.37,0.096,0.0168,0.3967,-0.3799,2.35,0.018906890367232632,2.35,0.018660208693521894,0.009950248756218905,3/4,0.75,False,False
ccccc|bb,1.0,1.0,1.0,1286,1285,0.1,0,45.53,49.28,49.29,50.0,-3.75,-0.075,-0.0895,0.2231,-0.3126,-2.69,0.007133702693785388,-2.35,0.01854695908975339,0.009950248756218905,0/4,0.0,False,False
aaaab|cc,0.5,1.0,2.0,880,879,0.1,0,28.67,32.27,32.29,33.33,-3.6,-0.1079,-0.1399,0.3981,-0.5381,-2.28,0.022487896610177856,-2.35,0.018897631744345632,0.024875621890547265,0/4,0.0,False,False
bcccc|cb,0.5,1.0,2.0,444,444,0.0,0,27.03,32.34,32.29,33.33,-5.31,-0.1593,-0.1892,0.4415,-0.6307,-2.39,0.016700895974227064,-2.34,0.019404761473859163,0.024875621890547265,0/4,0.0,False,False
aaaaa|ba,0.5,2.0,4.0,3135,3117,0.6,0,20.95,19.31,19.3,20.0,1.64,0.0818,0.0475,0.3895,-0.342,2.32,0.020562949252651324,2.32,0.020335120979646217,0.024875621890547265,4/4,1.0,False,False
baaaa|aa,0.5,1.0,2.0,946,946,0.0,0,35.52,32.24,32.29,33.33,3.28,0.0984,0.0655,0.3965,-0.331,2.16,0.03090121088740371,2.32,0.02027620752960722,0.01990049751243781,3/4,0.75,False,False
bbaaa|aa,0.5,2.0,4.0,446,444,0.4,0,23.42,19.26,19.3,20.0,4.17,0.2083,0.1712,0.4194,-0.2482,2.23,0.02594592244246138,2.29,0.02218705024421951,0.029850746268656716,4/4,1.0,False,False
ccdcc|ab,0.5,3.0,6.0,379,372,1.8,0,8.87,13.27,13.24,14.29,-4.4,-0.3079,-0.379,0.4423,-0.8213,-2.5,0.0123455870334038,-2.28,0.022346941753664678,0.024875621890547265,1/4,0.25,False,False
bbccc|bc,0.5,3.0,6.0,393,384,2.3,0,9.11,13.35,13.24,14.29,-4.23,-0.2964,-0.362,0.4337,-0.7957,-2.44,0.01462276977542792,-2.28,0.022575117189720096,0.029850746268656716,0/4,0.0,False,False
abaaa|aa,0.5,1.0,2.0,432,432,0.0,0,37.5,32.23,32.29,33.33,5.27,0.1581,0.125,0.3957,-0.2707,2.34,0.019030093672230016,2.27,0.023258562271351004,0.029850746268656716,3/4,0.75,False,False
babaa|aa,1.0,3.0,3.0,351,335,4.6,0,17.91,23.36,23.32,25.0,-5.45,-0.2179,-0.2836,0.2044,-0.488,-2.36,0.018333172186400813,-2.27,0.023071540769980938,0.01990049751243781,1/4,0.25,False,False
abaaa|ac,1.0,1.0,1.0,348,347,0.3,0,54.76,49.28,49.29,50.0,5.48,0.1096,0.0951,0.1888,-0.0937,2.04,0.04108041707197993,2.27,0.02293666613514861,0.01990049751243781,4/4,1.0,False,False
bbccc|cb,1.0,1.0,1.0,378,378,0.0,0,43.39,49.28,49.29,50.0,-5.89,-0.1178,-0.1323,0.2236,-0.3559,-2.29,0.021902089438634233,-2.26,0.023991051766725575,0.029850746268656716,0/4,0.0,False,False
