symbol,position_id,side,lots,entry,exit,closed,sim_ccy,sim_acct,broker_profit,broker_commission,broker_swap,ticket,diff,abs_diff,rel
USDJPY.a,312531699,buy,0.05,157.682,157.72,2026-08-04 06:44:50.978,190.00000000005457,1.7172722702651646,1.72,0.0,0.0,274979680,-0.0027277297348353713,0.0027277297348353713,0.001585889380718239
XAUUSD.a,312532428,buy,0.01,4057.4200000000005,4062.68,2026-08-04 02:40:36.973,5.259999999999309,7.5147151265776735,7.5,0.0,0.0,274930589,0.014715126577673487,0.014715126577673487,0.0019620168770231317
XAUUSD.a,312541692,buy,0.01,4061.75,4063.31,2026-08-04 07:01:04.846,1.5599999999999454,2.2238061297219462,2.22,0.0,0.0,274983664,0.00380612972194605,0.00380612972194605,0.0017144728477234458
XAUUSD.a,312550769,buy,0.01,4053.1,4057.78,2026-08-04 04:22:48.561,4.680000000000291,6.685714285714702,6.67,0.0,0.0,274947577,0.01571428571470168,0.01571428571470168,0.0023559648747678683
XAUUSD.a,312631691,buy,0.01,4063.18,4089.67,2026-08-04 13:24:11.727,26.490000000000236,37.698525644675016,37.64,0.0,0.0,275119158,0.05852564467501509,0.05852564467501509,0.0015548789764881798
XAUUSD.a,312722231,sell,0.01,4100.09,4071.64,2026-08-04 23:20:36.009,28.450000000000273,40.37751915980737,40.36,0.0,0.42,275298135,0.017519159807370954,0.017519159807370954,0.0004340723440874865
XAUUSD.a,313104508,buy,0.01,4067.09,4068.81,2026-08-04 23:28:16.164,1.7199999999998,2.44110133408998,2.44,0.0,0.0,275299726,0.0011013340899799218,0.0011013340899799218,0.0004513664303196401
XAUUSD.a,313106183,sell,0.01,4068.9099999999994,4068.23,2026-08-04 23:34:31.847,0.6799999999993815,0.9650865739417848,0.96,0.0,0.0,275300635,0.0050865739417848,0.0050865739417848,0.0052985145226925
XAUUSD.a,313107139,sell,0.01,4069.32,4068.14,2026-08-04 23:36:48.611,1.180000000000291,1.6747090547832686,1.67,0.0,0.0,275300832,0.0047090547832686624,0.0047090547832686624,0.0028197932833944088
XAUUSD.a,313107607,sell,0.01,4068.77,4302.96,2026-08-06 01:01:48.363,-234.19000000000008,-331.84549112962657,-331.76,0.0,1.22,275779875,-0.08549112962657546,0.08549112962657546,0.00025768968418909895
USDJPY.a,313108478,sell,0.05,157.802,157.777,2026-08-04 23:47:04.219,125.00000000002842,1.1244643764623505,1.12,0.0,0.0,275301866,0.004464376462350428,0.004464376462350428,0.003986050412812882
