when,truth,ticks,5m,5m_n,1m,1m_n
2025-08-28 08:00:00,target,12267,target,12,target,60
2025-08-28 09:00:00,stop,16802,stop,12,stop,60
2025-08-28 10:00:00,stop,14393,stop,12,stop,60
2025-08-28 11:00:00,stop,15823,stop,12,stop,60
2025-08-28 12:00:00,target,11460,target,12,target,60
2025-08-28 13:00:00,target,15218,target,12,target,60
2025-08-28 14:00:00,stop,17701,stop,12,stop,60
2025-08-28 15:00:00,target,24358,target,12,target,60
2025-08-28 16:00:00,stop,27586,stop,12,stop,60
2025-08-28 17:00:00,stop,24957,stop,12,stop,60
2025-08-28 18:00:00,target,20285,target,12,target,60
2025-08-28 19:00:00,stop,19450,stop,12,stop,60
2025-08-28 20:00:00,stop,17422,stop,12,stop,60
2025-08-28 21:00:00,stop,13477,stop,12,stop,60
2025-08-28 22:00:00,stop,19062,stop,12,stop,60
2025-08-28 23:00:00,target,6820,target,12,target,59
2025-10-01 01:00:00,target,7840,target,12,target,59
2025-10-01 03:00:00,target,17739,target,12,target,60
2025-10-01 04:00:00,stop,18585,stop,12,stop,60
2025-10-01 05:00:00,target,25096,target,12,target,60
2025-10-01 06:00:00,target,24374,target,12,target,60
2025-10-01 07:00:00,target,17357,target,12,target,60
2025-10-01 08:00:00,target,17870,target,12,target,60
2025-10-01 09:00:00,target,23470,target,12,target,60
2025-10-01 10:00:00,stop,27612,stop,12,stop,60
2025-10-01 11:00:00,stop,28292,stop,12,stop,60
2025-10-01 12:00:00,target,23645,target,12,target,60
2025-10-01 13:00:00,stop,21855,stop,12,stop,60
2025-10-01 14:00:00,target,22292,target,12,target,60
2025-10-01 15:00:00,target,32785,target,12,target,60
2025-10-01 16:00:00,stop,32403,stop,12,stop,60
2025-10-01 17:00:00,target,34335,target,12,target,60
2025-10-01 18:00:00,target,33230,target,12,target,60
2025-10-01 19:00:00,stop,23713,stop,12,stop,60
2025-10-01 20:00:00,target,20567,target,12,target,60
2025-10-01 21:00:00,stop,25509,stop,12,stop,60
2025-10-01 22:00:00,stop,21857,stop,12,stop,60
2025-10-01 23:00:00,target,9248,target,12,target,59
2025-11-04 01:00:00,target,18734,target,12,target,59
2025-11-04 02:00:00,target,23558,target,12,target,60
2025-11-04 03:00:00,target,26891,target,12,target,60
2025-11-04 05:00:00,stop,20547,stop,12,stop,60
2025-11-04 06:00:00,target,16501,target,12,target,60
2025-11-04 07:00:00,target,26381,target,12,target,60
2025-11-04 08:00:00,stop,25505,stop,12,stop,60
2025-11-04 09:00:00,stop,20884,stop,12,stop,60
2025-11-04 10:00:00,target,22238,target,12,target,60
2025-11-04 11:00:00,stop,20626,stop,12,stop,60
2025-11-04 12:00:00,stop,18035,stop,12,stop,60
2025-11-04 13:00:00,stop,15275,stop,12,stop,60
2025-11-04 14:00:00,target,21203,target,12,target,60
2025-11-04 15:00:00,target,30228,target,12,target,60
2025-11-04 16:00:00,target,35571,target,12,target,60
2025-11-04 17:00:00,stop,29976,stop,12,stop,60
2025-11-04 18:00:00,stop,26746,stop,12,stop,60
2025-11-04 19:00:00,target,22665,target,12,target,60
2025-11-04 20:00:00,target,23912,target,12,target,60
2025-11-04 21:00:00,stop,18658,stop,12,stop,60
2025-11-04 22:00:00,stop,18059,stop,12,stop,60
2025-11-04 23:00:00,target,8942,target,12,target,59
2025-11-21 01:00:00,stop,13583,stop,12,stop,59
2025-11-21 02:00:00,target,15451,target,12,target,60
2025-11-21 03:00:00,stop,26835,stop,12,stop,60
2025-11-21 04:00:00,target,24468,target,12,target,60
2025-11-21 05:00:00,target,22779,target,12,target,60
2025-11-21 06:00:00,target,19359,target,12,target,60
2025-11-21 07:00:00,stop,23924,stop,12,stop,60
2025-11-21 08:00:00,target,29082,target,12,target,60
2025-11-21 09:00:00,stop,23888,stop,12,stop,60
2025-11-21 10:00:00,stop,25654,stop,12,stop,60
2025-11-21 11:00:00,stop,25340,stop,12,stop,60
2025-11-21 12:00:00,target,27422,target,12,target,60
2025-11-21 13:00:00,target,19571,target,12,target,60
2025-11-21 14:00:00,stop,31094,stop,12,stop,60
2025-11-21 15:00:00,stop,29369,stop,12,stop,60
2025-11-21 16:00:00,target,33363,target,12,target,60
2025-11-21 17:00:00,target,36861,target,12,target,60
2025-11-21 18:00:00,stop,33489,stop,12,stop,60
2025-11-21 19:00:00,target,31859,target,12,target,60
2025-11-21 20:00:00,stop,31471,stop,12,stop,60
2025-11-21 21:00:00,stop,26621,stop,12,stop,60
2025-11-21 22:00:00,target,28982,target,12,target,60
2025-11-21 23:00:00,target,10700,target,11,target,55
