when,truth,ticks,5m,5m_n,1m,1m_n
2025-11-04 13:00:00,target,6837,target,12,target,60
2025-11-04 14:00:00,target,9452,target,12,target,60
2025-11-04 15:00:00,stop,7911,stop,12,stop,60
2025-11-04 16:00:00,target,11112,target,12,target,60
2025-11-04 17:00:00,stop,10268,stop,12,stop,60
2025-11-04 18:00:00,target,8888,target,12,target,60
2025-11-04 19:00:00,target,5691,target,12,target,60
2025-11-04 20:00:00,stop,4564,stop,12,stop,60
2025-11-04 21:00:00,target,4667,target,12,target,60
2025-11-04 22:00:00,stop,4280,stop,12,stop,60
2025-11-04 23:00:00,stop,5070,unresolved,12,stop,59
2025-11-21 00:00:00,stop,3055,unresolved,12,stop,59
2025-11-21 01:00:00,stop,3681,stop,12,stop,60
2025-11-21 02:00:00,stop,5488,stop,12,stop,60
2025-11-21 03:00:00,target,6279,target,12,target,60
2025-11-21 04:00:00,stop,5571,stop,12,stop,60
2025-11-21 05:00:00,stop,4564,stop,12,stop,60
2025-11-21 06:00:00,stop,4595,stop,12,stop,60
2025-11-21 07:00:00,target,4577,target,12,target,60
2025-11-21 09:00:00,stop,9536,stop,12,stop,60
2025-11-21 10:00:00,stop,13228,stop,12,stop,60
2025-11-21 11:00:00,target,10548,target,12,target,60
2025-11-21 12:00:00,target,10771,target,12,target,60
2025-11-21 13:00:00,target,8644,target,12,target,60
2025-11-21 14:00:00,stop,15132,stop,12,stop,60
2025-11-21 15:00:00,stop,10972,stop,12,stop,60
2025-11-21 16:00:00,target,13150,target,12,target,60
2025-11-21 17:00:00,target,15171,target,12,target,60
2025-11-21 18:00:00,stop,11874,stop,12,stop,60
2025-11-21 19:00:00,target,9239,target,12,target,60
2025-11-21 20:00:00,stop,7314,stop,12,stop,60
2025-11-21 21:00:00,stop,7243,stop,12,stop,60
2025-11-21 22:00:00,stop,5776,stop,12,stop,60
2025-11-21 23:00:00,target,4058,target,11,target,55
