pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,gross_R,friction_R,net_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
aaaaa|ac,0.5,2.0,4.0,1502,1502,0.0,0,17.58,19.4,19.37,20.0,-1.82,-0.0909,-0.1212,0.1991,-0.3203,-1.78,0.07442376491937232,-1.88,0.06064449599048148,0.07462686567164178,1/4,0.25,False,False
aaaaa|bc,0.5,1.0,2.0,904,904,0.0,0,29.54,32.25,32.15,33.33,-2.71,-0.0814,-0.1139,0.2018,-0.3157,-1.75,0.0806149818042324,-1.87,0.06102502155521165,0.05472636815920398,0/4,0.0,False,False
bbbbb|bb,0.5,1.0,2.0,619,619,0.0,0,35.54,31.97,32.15,33.33,3.57,0.1072,0.0662,0.2243,-0.158,1.91,0.056423441124234835,1.87,0.06107748267880933,0.07960199004975124,3/4,0.75,False,False
ddddd|cb,1.0,2.0,2.0,1525,1525,0.0,0,35.02,32.7,32.7,33.33,2.31,0.0694,0.0505,0.1023,-0.0518,1.93,0.053773589440895254,1.86,0.06239035358242572,0.05970149253731343,3/4,0.75,False,False
bcccc|bb,1.0,1.0,1.0,374,374,0.0,0,54.01,49.07,49.43,50.0,4.94,0.0988,0.0802,0.1122,-0.032,1.91,0.05585242504793715,1.85,0.06467882400711145,0.07960199004975124,3/4,0.75,False,False
cbbbb|bb,0.5,2.0,4.0,350,350,0.0,0,23.14,19.35,19.37,20.0,3.79,0.1895,0.1571,0.2211,-0.0639,1.8,0.07240453959014481,1.84,0.06506734572058873,0.05970149253731343,4/4,1.0,False,False
baaaa|bb,0.5,3.0,6.0,391,391,0.0,0,11.0,13.92,13.67,14.29,-2.92,-0.2043,-0.2302,0.2122,-0.4423,-1.67,0.09506647377095626,-1.81,0.07041265663156655,0.0945273631840796,1/4,0.25,False,False
bbbbb|ba,0.5,3.0,6.0,375,375,0.0,0,16.8,13.66,13.67,14.29,3.14,0.2201,0.176,0.2225,-0.0465,1.78,0.07585197670182565,1.81,0.07016002200533276,0.09950248756218906,2/4,0.5,False,False
baaaa|ac,0.5,2.0,4.0,377,377,0.0,0,15.92,19.29,19.37,20.0,-3.37,-0.1687,-0.2042,0.2018,-0.406,-1.66,0.09648681214907993,-1.8,0.07238697852145255,0.05970149253731343,0/4,0.0,False,False
ddddd|bc,1.0,1.0,1.0,1482,1482,0.0,0,47.3,49.55,49.43,50.0,-2.25,-0.0449,-0.054,0.1024,-0.1564,-1.73,0.08343830389892543,-1.8,0.07123680886397747,0.08955223880597014,0/4,0.0,False,False
ddddd|ac,1.0,3.0,3.0,1129,1123,0.5,0,21.91,24.34,24.3,25.0,-2.43,-0.0973,-0.1238,0.1006,-0.2244,-1.9,0.0571091331533366,-1.8,0.0714590494720513,0.07960199004975124,1/4,0.25,False,False
aaaaa|bc,1.0,2.0,2.0,904,902,0.2,0,29.49,32.66,32.7,33.33,-3.17,-0.0952,-0.1153,0.1009,-0.2162,-2.03,0.041886121368603535,-1.79,0.0737684549386009,0.07462686567164178,1/4,0.25,False,False
ccccc|cb,1.0,3.0,3.0,417,417,0.0,0,20.86,24.32,24.3,25.0,-3.46,-0.1383,-0.1655,0.1144,-0.2799,-1.65,0.09899062243016356,-1.78,0.07553720064268142,0.08955223880597014,0/4,0.0,False,False
bbbbb|ba,1.0,3.0,3.0,375,374,0.3,0,28.34,24.21,24.3,25.0,4.13,0.1653,0.1337,0.1112,0.0224,1.87,0.061582347447310906,1.74,0.08200993723489856,0.08955223880597014,3/4,0.75,False,False
cccbb|ab,0.5,1.0,2.0,389,389,0.0,0,35.99,31.87,32.15,33.33,4.12,0.1237,0.0797,0.2257,-0.146,1.75,0.08074290829371752,1.74,0.08122344130481274,0.07960199004975124,3/4,0.75,False,False
aaaaa|ca,0.5,3.0,6.0,1031,1028,0.3,0,11.87,13.67,13.67,14.29,-1.8,-0.1262,-0.1693,0.2026,-0.3718,-1.68,0.09202887573183849,-1.72,0.08619980329674423,0.0845771144278607,1/4,0.25,False,False
