bar,occurred_at,dist_atr,line_id,role,quality,touches,atr,tf,arm,outcome,symbol
29677,2022-10-06 18:00:00,,1h-R-2437,resistance,94.49,4,0.002485168889458989,1h,random,hold,EURUSD.a
668,2018-02-08 21:00:00,0.39068133156958046,1h-R-2439,resistance,93.64,4,0.002485168889458989,1h,line,hold,EURUSD.a
668,2018-02-08 21:00:00,0.39068133156958046,1h-R-2439,resistance,93.64,4,0.002485168889458989,1h,placebo,break,EURUSD.a
52077,2026-05-15 17:00:00,,1h-R-2439,resistance,93.64,4,0.002485168889458989,1h,random,hold,EURUSD.a
680,2018-02-09 09:00:00,0.3572514063614977,1h-R-2440,resistance,90.61,4,0.0018016342334152694,1h,line,hold,EURUSD.a
680,2018-02-09 09:00:00,0.3572514063614977,1h-R-2440,resistance,90.61,4,0.0018016342334152694,1h,placebo,break,EURUSD.a
34469,2023-07-14 15:00:00,,1h-R-2440,resistance,90.61,4,0.0018016342334152694,1h,random,break,EURUSD.a
680,2018-02-09 09:00:00,0.28369305024941865,1h-R-2441,resistance,90.31,4,0.0018016342334152694,1h,line,hold,EURUSD.a
680,2018-02-09 09:00:00,0.28369305024941865,1h-R-2441,resistance,90.31,4,0.0018016342334152694,1h,placebo,hold,EURUSD.a
52819,2026-06-29 15:00:00,,1h-R-2441,resistance,90.31,4,0.0018016342334152694,1h,random,break,EURUSD.a
684,2018-02-09 13:00:00,0.08907070786241894,1h-S-2653,support,83.51,4,0.0019085960365622123,1h,line,break,EURUSD.a
684,2018-02-09 13:00:00,0.08907070786241894,1h-S-2653,support,83.51,4,0.0019085960365622123,1h,placebo,break,EURUSD.a
22086,2021-07-21 11:00:00,,1h-S-2653,support,83.51,4,0.0019085960365622123,1h,random,break,EURUSD.a
685,2018-02-09 14:00:00,0.3011094724882204,1h-S-2608,support,96.81,4,0.001955124891093491,1h,line,hold,EURUSD.a
685,2018-02-09 14:00:00,0.3011094724882204,1h-S-2608,support,96.81,4,0.001955124891093491,1h,placebo,break,EURUSD.a
52072,2026-05-15 12:00:00,,1h-S-2608,support,96.81,4,0.001955124891093491,1h,random,hold,EURUSD.a
685,2018-02-09 14:00:00,0.3240271332023573,1h-S-2610,support,96.31,4,0.001955124891093491,1h,line,hold,EURUSD.a
685,2018-02-09 14:00:00,0.3240271332023573,1h-S-2610,support,96.31,4,0.001955124891093491,1h,placebo,break,EURUSD.a
47068,2025-07-24 20:00:00,,1h-S-2610,support,96.31,4,0.001955124891093491,1h,random,break,EURUSD.a
685,2018-02-09 14:00:00,0.3427497548252288,1h-S-2611,support,96.01,4,0.001955124891093491,1h,line,hold,EURUSD.a
685,2018-02-09 14:00:00,0.3427497548252288,1h-S-2611,support,96.01,4,0.001955124891093491,1h,placebo,hold,EURUSD.a
25642,2022-02-14 15:00:00,,1h-S-2611,support,96.01,4,0.001955124891093491,1h,random,break,EURUSD.a
685,2018-02-09 14:00:00,0.3878425089060839,1h-S-2614,support,94.41,4,0.001955124891093491,1h,line,hold,EURUSD.a
685,2018-02-09 14:00:00,0.3878425089060839,1h-S-2614,support,94.41,4,0.001955124891093491,1h,placebo,hold,EURUSD.a
17318,2020-10-13 19:00:00,,1h-S-2614,support,94.41,4,0.001955124891093491,1h,random,hold,EURUSD.a
685,2018-02-09 14:00:00,0.186431589654711,1h-S-2607,support,83.96,3,0.001955124891093491,1h,line,hold,EURUSD.a
685,2018-02-09 14:00:00,0.186431589654711,1h-S-2607,support,83.96,3,0.001955124891093491,1h,placebo,break,EURUSD.a
38701,2024-03-20 23:00:00,,1h-S-2607,support,83.96,3,0.001955124891093491,1h,random,hold,EURUSD.a
685,2018-02-09 14:00:00,0.20517505504137928,1h-S-2612,support,81.71,3,0.001955124891093491,1h,line,hold,EURUSD.a
685,2018-02-09 14:00:00,0.20517505504137928,1h-S-2612,support,81.71,3,0.001955124891093491,1h,placebo,break,EURUSD.a
