i,side,reason,confluence,agreement,taken,quality,dist_atr
26474,1,bounce_support,-0.222,conflict,True,92.74,0.04675467010133422
26535,-1,bounce_resistance,0.222,partial,True,97.95,0.25484445109155074
26552,1,bounce_support,-0.222,conflict,True,96.79,0.13247373303217877
26595,-1,bounce_resistance,0.667,partial,True,86.2,0.3841703934535128
26609,-1,bounce_resistance,0.667,partial,True,87.19,0.2794031161232501
26665,1,bounce_support,-0.222,conflict,True,74.42,0.3980440152016636
26738,1,bounce_support,0.111,partial,True,93.94,0.023149078039707466
26751,1,bounce_support,0.111,partial,True,97.25,0.24888353504699037
26789,-1,bounce_resistance,-0.111,conflict,True,87.6,0.32299626498698025
26813,1,bounce_support,0.111,partial,True,95.49,0.29338119616504693
26838,1,bounce_support,0.111,partial,True,85.43,0.09564066084562632
26859,1,bounce_support,0.111,partial,True,90.15,0.3910397070481932
26945,1,bounce_support,0.111,partial,True,85.1,0.22605225784919245
26949,1,bounce_support,0.111,partial,True,86.8,0.2462724852776789
26965,1,bounce_support,0.111,partial,True,95.91,0.24079101361978636
26977,1,bounce_support,0.111,partial,True,93.82,0.03297570545938122
27061,1,bounce_support,0.111,partial,True,84.03,0.3701077490296846
27125,1,bounce_support,0.556,partial,True,95.25,0.3524314638742248
27137,1,bounce_support,0.556,partial,True,96.06,0.21159946070577285
27224,1,bounce_support,1.0,full,True,79.35,0.12944245896690698
27228,1,bounce_support,1.0,full,True,83.77,0.36204370731638347
27243,1,bounce_support,1.0,full,True,84.68,0.4838583753927865
27267,1,bounce_support,1.0,full,True,89.58,0.19541172593272743
27273,1,bounce_support,1.0,full,True,97.81,0.06992306303808524
27331,1,bounce_support,1.0,full,True,85.39,0.40367216590749866
27358,-1,bounce_resistance,-1.0,conflict,True,83.08,0.40935998433461135
27400,1,bounce_support,1.0,full,True,96.01,0.37132782183452046
27422,1,bounce_support,1.0,full,True,95.36,0.48251651177554467
27442,-1,bounce_resistance,-1.0,conflict,True,74.59,0.24651502592311175
27512,-1,bounce_resistance,-0.556,conflict,True,77.75,0.1850895561152442
27517,-1,bounce_resistance,-0.556,conflict,True,88.9,0.24403648897306368
27529,-1,bounce_resistance,-0.556,conflict,True,92.06,0.22869220040939567
27593,-1,bounce_resistance,-0.556,conflict,True,95.54,0.3987073447876261
27638,1,bounce_support,0.556,partial,True,91.2,0.2553330932299
27639,1,bounce_support,0.556,partial,True,91.3,0.22430260335475843
27642,1,bounce_support,0.556,partial,True,95.19,0.2147891702792646
27650,-1,bounce_resistance,-0.222,conflict,True,90.42,0.4635620176440398
27707,1,bounce_support,-0.111,conflict,True,82.71,0.3778654130523114
27733,1,bounce_support,-0.111,conflict,True,77.19,0.24992978409868694
27814,1,bounce_support,0.667,partial,True,92.15,0.0510606974248533
27821,1,bounce_support,0.667,partial,True,86.66,0.21432904044930126
27899,1,bounce_support,1.0,full,True,75.58,0.466806617734163
27978,1,bounce_support,1.0,full,True,85.41,0.22087782786300497
27997,-1,bounce_resistance,-1.0,conflict,True,87.4,0.22698509575879097
28022,1,bounce_support,1.0,full,True,86.93,0.4121756166445047
28046,1,bounce_support,1.0,full,True,100.0,0.20864431647274842
28104,1,bounce_support,1.0,full,True,95.25,0.47303906656571887
28161,-1,bounce_resistance,-1.0,conflict,True,100.0,0.18544064604189903
28232,-1,bounce_resistance,-0.556,conflict,True,92.47,0.17443664325036115
28234,-1,bounce_resistance,-0.556,conflict,True,100.0,0.01300739126626357
28246,-1,bounce_resistance,-0.556,conflict,True,100.0,0.4590896374944274
28369,1,bounce_support,0.778,partial,True,85.6,0.12304567330020369
28399,-1,bounce_resistance,-0.556,conflict,True,72.29,0.492184566072458
28547,1,bounce_support,1.0,full,True,85.3,0.39986517709322467
28583,1,bounce_support,1.0,full,True,85.54,0.3389316024136756
28600,1,bounce_support,1.0,full,True,85.31,0.3774263531672779
28610,1,bounce_support,1.0,full,True,97.64,0.24628689900491604
28634,1,bounce_support,1.0,full,True,96.19,0.12569283305418447
28670,1,bounce_support,1.0,full,True,99.19,0.4738636250715752
28716,1,bounce_support,1.0,full,True,95.04,0.42747929450992284
28721,1,bounce_support,1.0,full,True,94.26,0.05747561792466767
28758,1,bounce_support,1.0,full,True,85.66,0.2985376495132765
28766,1,bounce_support,1.0,full,True,87.83,0.49654745452972127
28798,1,bounce_support,1.0,full,True,95.96,0.05688548229518427
28806,1,bounce_support,1.0,full,True,94.78,0.3641950375145259
28860,1,bounce_support,1.0,full,True,100.0,0.32490996324364113
28913,1,bounce_support,1.0,full,True,81.66,0.31752646697208264
28931,1,bounce_support,1.0,full,True,84.36,0.3109799699820654
28936,1,bounce_support,1.0,full,True,99.62,0.3664005583771055
28955,1,bounce_support,1.0,full,True,93.37,0.48274558008035
28988,-1,bounce_resistance,-1.0,conflict,True,100.0,0.4493575068231556
29003,-1,bounce_resistance,-1.0,conflict,True,100.0,0.38755172888324535
29027,1,bounce_support,1.0,full,True,99.6,0.4818628188161674
29050,1,bounce_support,1.0,full,True,82.31,0.4066745948780392
29052,1,bounce_support,1.0,full,True,81.65,0.37333133072497493
29055,1,bounce_support,1.0,full,True,82.47,0.03396575278006479
29064,1,bounce_support,1.0,full,True,90.63,0.023280946913086756
29096,1,bounce_support,1.0,full,True,82.81,0.31728908217279306
29148,1,bounce_support,1.0,full,True,80.86,0.24521902373913032
29155,1,bounce_support,1.0,full,True,75.88,0.3670524196417199
29179,1,bounce_support,1.0,full,True,97.43,0.28145228432937786
29188,1,bounce_support,1.0,full,True,94.13,0.36185289842871665
29191,1,bounce_support,1.0,full,True,95.35,0.35412817821810005
29250,1,bounce_support,1.0,full,True,96.77,0.362600312484066
29258,1,bounce_support,1.0,full,True,97.11,0.3862977727785358
29366,1,bounce_support,1.0,full,True,83.86,0.3044508196681533
29374,1,bounce_support,1.0,full,True,97.54,0.3571632438936754
29376,1,bounce_support,1.0,full,True,98.03,0.4349520182202156
29409,1,bounce_support,1.0,full,True,83.56,0.0008839437130926856
29430,-1,bounce_resistance,-1.0,conflict,True,69.88,0.20722456283155194
29464,-1,bounce_resistance,-1.0,conflict,True,83.91,0.35800023050498025
29505,1,bounce_support,1.0,full,True,96.07,0.12617941013866427
29507,1,bounce_support,1.0,full,True,92.63,0.34212826314113665
29515,1,bounce_support,1.0,full,True,88.33,0.09072793409414162
29575,-1,bounce_resistance,-0.556,conflict,True,86.62,0.10325884311518141
29580,-1,bounce_resistance,-0.556,conflict,True,84.06,0.4312366353029712
29612,1,bounce_support,0.556,partial,True,97.51,0.44296802118972006
29650,-1,bounce_resistance,-0.556,conflict,True,97.72,0.39173679051574684
29735,1,bounce_support,1.0,full,True,88.0,0.1398176058678025
29801,1,bounce_support,1.0,full,True,78.87,0.47219019388330086
29802,1,bounce_support,1.0,full,True,85.3,0.4664729987367727
29837,1,bounce_support,1.0,full,True,85.69,0.4022152877429232
29881,1,bounce_support,1.0,full,True,97.79,0.21672240653983837
29913,1,bounce_support,1.0,full,True,94.0,0.25205401598945787
29943,-1,bounce_resistance,-1.0,conflict,True,90.77,0.4075590310933908
29965,-1,bounce_resistance,-0.778,conflict,True,96.76,0.02265384655513019
30056,-1,bounce_resistance,-0.556,conflict,True,99.01,0.15928905288788014
30103,1,bounce_support,0.556,partial,True,84.17,0.4576257755633676
30199,-1,bounce_resistance,-0.556,conflict,True,90.93,0.24724046959741966
30239,1,bounce_support,0.556,partial,True,84.04,0.4936858275461466
30241,-1,bounce_resistance,-0.556,conflict,True,65.16,0.4860754894411158
30244,-1,bounce_resistance,-0.556,conflict,True,81.06,0.30750458662576147
30250,-1,bounce_resistance,-0.556,conflict,True,88.84,0.21492829964097873
30303,-1,bounce_resistance,-0.556,conflict,True,96.86,0.029347351518037735
30355,1,bounce_support,0.556,partial,True,98.31,0.0708917337536806
30374,-1,bounce_resistance,-0.556,conflict,True,95.77,0.27476366463808816
30379,-1,bounce_resistance,-0.556,conflict,True,96.26,0.044337843229313466
30417,-1,bounce_resistance,-0.556,conflict,True,94.3,0.38793675230308
30437,-1,bounce_resistance,-0.556,conflict,True,96.7,0.43713810258634533
30447,-1,bounce_resistance,-0.556,conflict,True,95.4,0.411999850637985
30471,-1,bounce_resistance,-0.222,conflict,True,93.37,0.4628214251135036
30489,1,bounce_support,0.222,partial,True,71.16,0.49921821243613346
30513,1,bounce_support,0.444,partial,True,84.55,0.47333618052665977
30522,1,bounce_support,0.444,partial,True,86.31,0.11953118087840862
30563,1,bounce_support,1.0,full,True,96.61,0.4508976414383864
30567,1,bounce_support,1.0,full,True,98.26,0.3577293557998531
30570,1,bounce_support,1.0,full,True,97.5,0.20930319300654565
30611,1,bounce_support,1.0,full,True,95.5,0.3879078435090586
30643,1,bounce_support,1.0,full,True,89.95,0.36674469170203744
30713,1,bounce_support,1.0,full,True,84.32,0.4376973200106405
30733,1,bounce_support,1.0,full,True,83.16,0.09681025348578826
30757,-1,bounce_resistance,-1.0,conflict,True,77.53,0.4090137452093322
30790,1,bounce_support,1.0,full,True,99.03,0.47536240789325895
30794,1,bounce_support,1.0,full,True,86.01,0.15860247615894651
30817,1,bounce_support,1.0,full,True,85.55,0.011047182802963905
30867,1,bounce_support,1.0,full,True,85.73,0.21063852602827612
30876,1,bounce_support,1.0,full,True,96.73,0.39529008440248886
30918,1,bounce_support,1.0,full,True,96.59,0.12326321178610576
30946,1,bounce_support,1.0,full,True,85.64,0.31587886690138944
30981,1,bounce_support,1.0,full,True,92.74,0.3651047886183883
31008,1,bounce_support,1.0,full,True,93.74,0.4734976652280081
31029,1,bounce_support,1.0,full,True,88.88,0.4282664090620365
31069,1,bounce_support,1.0,full,True,86.46,0.45236257579017114
31101,-1,bounce_resistance,-1.0,conflict,True,91.14,0.09055160291174583
31104,-1,bounce_resistance,-1.0,conflict,True,92.47,0.46559146430414355
31110,-1,bounce_resistance,-1.0,conflict,True,90.45,0.26156546816363674
31119,-1,bounce_resistance,-1.0,conflict,True,91.71,0.33326287980047653
31162,-1,bounce_resistance,-1.0,conflict,True,85.1,0.47348091928287706
31188,1,bounce_support,1.0,full,True,95.97,0.48537235390011874
31215,1,bounce_support,1.0,full,True,91.49,0.4026790041162567
31217,1,bounce_support,1.0,full,True,80.94,0.0822957538507648
31276,-1,bounce_resistance,-0.556,conflict,True,73.94,0.11752326828010831
31326,1,bounce_support,0.556,partial,True,75.67,0.09620493030144306
31328,1,bounce_support,0.556,partial,True,86.6,0.295008611801921
31356,1,bounce_support,0.556,partial,True,87.22,0.2834391606715616
31357,1,bounce_support,0.556,partial,True,86.26,0.084181729456185
31403,-1,bounce_resistance,-0.556,conflict,True,85.29,0.07905719860601268
31440,1,bounce_support,0.556,partial,True,81.2,0.44885514141102245
31451,-1,bounce_resistance,-0.556,conflict,True,84.78,0.29386028272604653
31476,-1,bounce_resistance,-0.556,conflict,True,89.87,0.26135399106989354
31480,-1,bounce_resistance,-0.556,conflict,True,90.52,0.23301357163548614
31543,-1,bounce_resistance,0.111,partial,True,80.42,0.31440449381657837
31561,-1,bounce_resistance,0.111,partial,True,74.18,0.30220321191179444
31653,1,bounce_support,-0.111,conflict,True,86.51,0.1776257822390223
31740,-1,bounce_resistance,0.111,partial,True,84.51,0.29798210035456163
31755,-1,bounce_resistance,0.111,partial,True,97.71,0.04713570622878576
31818,1,bounce_support,0.333,partial,True,98.59,0.42878927398219097
31829,-1,bounce_resistance,0.111,partial,True,83.87,0.11757229236364632
31875,-1,bounce_resistance,0.111,partial,True,83.18,0.3444219120062359
31903,-1,bounce_resistance,0.111,partial,True,88.51,0.0601993178449549
31913,-1,bounce_resistance,0.111,partial,True,92.98,0.35868114801842704
31967,-1,bounce_resistance,0.111,partial,True,98.44,0.4813816406212315
32000,-1,bounce_resistance,0.111,partial,True,92.77,0.3769313695806837
32031,-1,bounce_resistance,0.111,partial,True,95.23,0.3573225012113886
32042,-1,bounce_resistance,0.111,partial,True,94.32,0.12765753535692131
32078,-1,bounce_resistance,0.111,partial,True,89.69,0.24136540146589444
32092,1,bounce_support,-0.111,conflict,True,84.88,0.43172941791782793
32116,1,bounce_support,-0.111,conflict,True,96.57,0.4339429369497815
32119,1,bounce_support,-0.111,conflict,True,96.4,0.18540589189209908
32224,-1,bounce_resistance,0.111,partial,True,96.5,0.19981374081037281
32265,-1,bounce_resistance,0.111,partial,True,89.59,0.43283564564954385
32270,-1,bounce_resistance,0.111,partial,True,96.44,0.10609005632215288
32307,1,bounce_support,-0.111,conflict,True,79.18,0.3006895710074619
32322,1,bounce_support,-0.111,conflict,True,89.79,0.26907753764307657
32337,-1,bounce_resistance,0.111,partial,True,87.54,0.3474213002625679
32402,1,bounce_support,-0.111,conflict,True,85.97,0.1642744973810379
32413,1,bounce_support,-0.111,conflict,True,84.78,0.22570594810720038
32432,1,bounce_support,-0.111,conflict,True,86.2,0.3303240591887593
32460,-1,bounce_resistance,0.111,partial,True,98.86,0.023313802845978015
32494,-1,bounce_resistance,0.111,partial,True,93.26,0.11285044987125514
32519,1,bounce_support,-0.111,conflict,True,98.49,0.2405021426497555
32541,1,bounce_support,-0.111,conflict,True,98.47,0.33995969928649566
32569,-1,bounce_resistance,0.111,partial,True,97.49,0.08469576590790537
32585,-1,bounce_resistance,0.111,partial,True,95.85,0.17118662095407877
32629,1,bounce_support,-0.111,conflict,True,97.37,0.2818422252663182
32644,1,bounce_support,-0.111,conflict,True,73.55,0.1447586580101659
32667,-1,bounce_resistance,0.111,partial,True,85.95,0.3029008971858129
32670,-1,bounce_resistance,0.111,partial,True,67.88,0.34674929920962977
32696,-1,bounce_resistance,0.111,partial,True,87.75,0.2044030530602237
32719,1,bounce_support,0.111,partial,True,100.0,0.14040454475357061
32792,1,bounce_support,0.333,partial,True,81.16,0.11938808329779378
32831,1,bounce_support,0.333,partial,True,92.01,0.07432921593398685
32877,1,bounce_support,0.333,partial,True,93.52,0.0941844713991088
32937,-1,bounce_resistance,-1.0,conflict,True,82.19,0.3016247912213675
32952,-1,bounce_resistance,-1.0,conflict,True,90.32,0.20974448125710238
32990,1,bounce_support,1.0,full,True,71.23,0.23745488679654797
33000,1,bounce_support,1.0,full,True,96.48,0.3601602320756973
33066,-1,bounce_resistance,-1.0,conflict,True,100.0,0.30823559455677085
33115,1,bounce_support,1.0,full,True,97.37,0.10510049911523928
33226,-1,bounce_resistance,-1.0,conflict,True,95.2,0.399449013357948
33228,-1,bounce_resistance,-1.0,conflict,True,91.28,0.18457591976923102
33233,-1,bounce_resistance,-1.0,conflict,True,100.0,0.24794549056624549
33251,1,bounce_support,1.0,full,True,87.95,0.4770426081334669
33262,1,bounce_support,1.0,full,True,88.95,0.14989282847062307
33270,1,bounce_support,1.0,full,True,84.87,0.3979186129043983
33307,1,bounce_support,1.0,full,True,82.46,0.021170072195976306
33370,1,bounce_support,1.0,full,True,99.21,0.3823861865013503
33391,-1,bounce_resistance,-1.0,conflict,True,85.14,0.45291017736359024
33425,-1,bounce_resistance,-0.778,conflict,True,94.25,0.3180175094141583
33441,1,bounce_support,1.0,full,True,95.73,0.11786368752792797
33505,-1,bounce_resistance,-0.556,conflict,True,96.38,0.36928782764131207
33540,-1,bounce_resistance,-0.556,conflict,True,96.78,0.12442462814657451
33646,1,bounce_support,0.556,partial,True,83.65,0.35439412451644775
33689,1,bounce_support,0.222,partial,True,76.85,0.48468393741855387
33726,1,bounce_support,0.222,partial,True,80.38,0.14978231215404847
33742,1,bounce_support,0.222,partial,True,82.92,0.4316892987166463
33748,1,bounce_support,-0.111,conflict,True,95.64,0.21789474686020419
33762,-1,bounce_resistance,0.111,partial,True,85.16,0.33453536223486885
33845,1,bounce_support,-0.111,conflict,True,97.29,0.2030596859202842
33888,1,bounce_support,1.0,full,True,86.55,0.3155008884128126
33945,1,bounce_support,1.0,full,True,89.99,0.41329385231009697
33951,1,bounce_support,1.0,full,True,95.24,0.4776104229894255
33985,-1,bounce_resistance,-1.0,conflict,True,71.85,0.2991515847500649
33989,-1,bounce_resistance,-1.0,conflict,True,81.72,0.015780154731716844
34017,1,bounce_support,1.0,full,True,78.55,0.22588571227095508
34046,-1,bounce_resistance,-1.0,conflict,True,93.17,0.13367686725759353
34148,-1,bounce_resistance,-0.556,conflict,True,87.68,0.2842934488842542
34244,-1,bounce_resistance,-0.556,conflict,True,85.98,0.39656360392163537
34309,-1,bounce_resistance,-0.222,conflict,True,86.97,0.1289996565698647
34372,1,bounce_support,0.222,partial,True,98.74,0.4545789357079916
