i,side,reason,confluence,agreement,taken,quality
66403,-1,break_dn,1.0,full,True,90.18
66446,-1,break_dn,1.0,full,True,78.14
66481,1,break_up,-1.0,conflict,True,81.45
66602,1,break_up,-0.556,conflict,True,75.77
66630,-1,break_dn,0.556,partial,True,73.93
66637,-1,break_dn,0.556,partial,True,79.19
66672,1,break_up,-0.556,conflict,True,66.91
66704,1,break_up,-0.556,conflict,True,74.78
66790,1,break_up,0.111,partial,True,83.68
66812,-1,break_dn,-0.111,conflict,True,77.21
66836,-1,break_dn,-0.111,conflict,True,91.15
66883,1,break_up,0.111,partial,True,90.04
66903,-1,break_dn,-0.111,conflict,True,92.53
66927,-1,break_dn,0.333,partial,True,82.93
66929,-1,break_dn,0.333,partial,True,84.56
67036,-1,break_dn,1.0,full,True,71.27
67084,1,break_up,-1.0,conflict,True,80.19
67101,1,break_up,-1.0,conflict,True,83.72
67157,1,break_up,-0.556,conflict,True,91.25
67165,1,break_up,-0.556,conflict,True,93.99
67216,-1,break_dn,0.556,partial,True,95.09
67231,-1,break_dn,0.556,partial,True,95.91
67330,1,break_up,-1.0,conflict,True,72.14
67375,1,break_up,-0.778,conflict,True,82.89
67382,1,break_up,-0.556,conflict,True,100.0
67388,1,break_up,-0.556,conflict,True,76.15
67412,1,break_up,-0.556,conflict,True,80.82
67462,1,break_up,0.111,partial,True,83.73
67526,-1,break_dn,-0.111,conflict,True,80.71
67553,-1,break_dn,-0.111,conflict,True,82.21
67575,1,break_up,0.111,partial,True,93.97
67578,1,break_up,0.111,partial,True,88.54
67708,-1,break_dn,-0.111,conflict,True,70.92
67722,1,break_up,0.111,partial,True,75.74
67755,1,break_up,0.111,partial,True,82.47
67756,1,break_up,0.111,partial,True,85.75
67867,1,break_up,0.111,partial,True,73.67
67909,-1,break_dn,-0.111,conflict,True,80.6
67946,1,break_up,0.111,partial,True,82.1
68065,1,break_up,1.0,full,True,70.76
68109,1,break_up,1.0,full,True,92.21
68143,-1,break_dn,-1.0,conflict,True,88.52
68167,-1,break_dn,-1.0,conflict,True,80.09
68214,-1,break_dn,-0.556,conflict,True,75.49
68217,-1,break_dn,-0.556,conflict,True,75.66
68269,1,break_up,0.556,partial,True,95.51
68305,-1,break_dn,-0.556,conflict,True,95.84
68311,-1,break_dn,-0.556,conflict,True,87.26
68376,-1,break_dn,-0.556,conflict,True,72.55
68406,-1,break_dn,-0.556,conflict,True,80.09
68455,1,break_up,0.556,partial,True,75.86
68471,1,break_up,0.556,partial,True,80.18
68476,1,break_up,0.556,partial,True,82.35
68502,-1,break_dn,-0.556,conflict,True,77.81
68583,-1,break_dn,-0.556,conflict,True,89.79
68603,1,break_up,0.556,partial,True,92.39
68658,1,break_up,1.0,full,True,96.73
68712,1,break_up,1.0,full,True,81.25
68735,-1,break_dn,-1.0,conflict,True,98.15
68788,-1,break_dn,-1.0,conflict,True,74.92
68804,-1,break_dn,-0.778,conflict,True,66.1
68845,-1,break_dn,-1.0,conflict,True,92.51
68909,1,break_up,0.556,partial,True,92.94
68983,1,break_up,1.0,full,True,84.64
68995,1,break_up,1.0,full,True,74.14
69040,-1,break_dn,-1.0,conflict,True,90.57
69046,1,break_up,1.0,full,True,97.5
69110,1,break_up,1.0,full,True,70.23
69113,1,break_up,1.0,full,True,77.92
69115,1,break_up,1.0,full,True,76.44
69242,1,break_up,1.0,full,True,76.53
69259,1,break_up,1.0,full,True,78.72
69281,-1,break_dn,-1.0,conflict,True,82.11
69311,-1,break_dn,-1.0,conflict,True,83.2
69354,-1,break_dn,-0.556,conflict,True,81.96
69382,1,break_up,0.556,partial,True,98.03
69408,-1,break_dn,-0.556,conflict,True,75.81
69456,1,break_up,0.556,partial,True,86.57
69501,1,break_up,0.556,partial,True,81.93
69532,1,break_up,1.0,full,True,70.91
69572,1,break_up,1.0,full,True,71.56
69580,1,break_up,1.0,full,True,83.76
69614,1,break_up,1.0,full,True,69.94
69615,1,break_up,1.0,full,True,77.3
69723,-1,break_dn,-1.0,conflict,True,81.06
69767,-1,break_dn,-0.778,conflict,True,73.53
69809,-1,break_dn,-0.556,conflict,True,76.75
69823,1,break_up,0.556,partial,True,83.04
69843,1,break_up,0.556,partial,True,87.16
69848,1,break_up,0.556,partial,True,83.91
69867,1,break_up,1.0,full,True,67.9
69995,-1,break_dn,-1.0,conflict,True,82.34
70010,-1,break_dn,-0.556,conflict,True,81.76
70032,-1,break_dn,-0.556,conflict,True,72.84
70067,-1,break_dn,-0.556,conflict,True,73.93
70097,1,break_up,0.556,partial,True,73.26
70104,-1,break_dn,-0.556,conflict,True,78.65
70121,1,break_up,0.556,partial,True,97.18
70145,1,break_up,0.556,partial,True,81.72
70226,-1,break_dn,-1.0,conflict,True,76.3
70301,1,break_up,1.0,full,True,88.25
70314,1,break_up,1.0,full,True,74.51
70409,1,break_up,1.0,full,True,85.59
70458,1,break_up,1.0,full,True,89.08
70482,-1,break_dn,-1.0,conflict,True,93.91
70493,-1,break_dn,-1.0,conflict,True,70.09
70509,-1,break_dn,-1.0,conflict,True,84.93
70570,1,break_up,0.556,partial,True,94.63
70593,1,break_up,0.556,partial,True,79.63
70630,1,break_up,0.556,partial,True,75.32
70697,1,break_up,1.0,full,True,66.44
70738,-1,break_dn,-1.0,conflict,True,93.49
70776,-1,break_dn,-1.0,conflict,True,71.24
70826,1,break_up,0.778,partial,True,87.77
70840,1,break_up,0.778,partial,True,77.36
70861,1,break_up,1.0,full,True,83.05
70970,1,break_up,1.0,full,True,92.46
71003,1,break_up,1.0,full,True,72.13
71039,1,break_up,1.0,full,True,76.0
71089,1,break_up,1.0,full,True,94.88
71180,1,break_up,1.0,full,True,73.23
71206,-1,break_dn,-1.0,conflict,True,78.48
71236,-1,break_dn,-1.0,conflict,True,75.64
71252,-1,break_dn,-0.556,conflict,True,71.01
71299,1,break_up,0.556,partial,True,88.93
71321,1,break_up,0.556,partial,True,85.74
71365,1,break_up,1.0,full,True,73.48
71452,-1,break_dn,-1.0,conflict,True,89.29
71486,1,break_up,1.0,full,True,79.27
71511,1,break_up,1.0,full,True,83.55
71565,1,break_up,1.0,full,True,79.99
71580,1,break_up,1.0,full,True,81.26
71601,-1,break_dn,-1.0,conflict,True,88.84
71642,1,break_up,1.0,full,True,92.59
71689,1,break_up,1.0,full,True,69.08
71728,1,break_up,1.0,full,True,84.48
71758,1,break_up,1.0,full,True,74.07
71786,1,break_up,1.0,full,True,86.41
71828,1,break_up,1.0,full,True,80.93
71908,-1,break_dn,-1.0,conflict,True,76.51
71917,-1,break_dn,-1.0,conflict,True,82.31
71927,-1,break_dn,-1.0,conflict,True,98.06
71970,-1,break_dn,-1.0,conflict,True,83.25
72077,-1,break_dn,-0.778,conflict,True,74.78
72089,-1,break_dn,-0.556,conflict,True,85.52
72116,1,break_up,0.778,partial,True,93.44
72142,1,break_up,0.778,partial,True,83.98
72160,1,break_up,1.0,full,True,80.12
72207,1,break_up,1.0,full,True,81.9
72295,-1,break_dn,-1.0,conflict,True,74.21
72317,-1,break_dn,-1.0,conflict,True,81.66
72323,-1,break_dn,-1.0,conflict,True,75.53
72350,1,break_up,1.0,full,True,99.42
72409,1,break_up,1.0,full,True,71.24
72440,1,break_up,1.0,full,True,95.55
72493,-1,break_dn,-1.0,conflict,True,75.38
72526,1,break_up,1.0,full,True,95.86
72599,-1,break_dn,-1.0,conflict,True,92.23
72646,-1,break_dn,-0.556,conflict,True,67.98
72690,1,break_up,0.556,partial,True,77.05
72747,1,break_up,0.556,partial,True,76.87
72761,-1,break_dn,-0.556,conflict,True,91.54
72798,-1,break_dn,-0.556,conflict,True,97.19
72835,-1,break_dn,-0.556,conflict,True,88.3
72853,-1,break_dn,-0.556,conflict,True,86.17
72893,1,break_up,0.556,partial,True,100.0
72953,-1,break_dn,-1.0,conflict,True,72.93
72957,1,break_up,1.0,full,True,92.19
72991,1,break_up,1.0,full,True,75.98
73033,1,break_up,1.0,full,True,69.38
73075,-1,break_dn,-1.0,conflict,True,79.42
73151,-1,break_dn,-0.556,conflict,True,82.54
73251,-1,break_dn,0.111,partial,True,87.31
73301,1,break_up,-0.111,conflict,True,82.99
73318,1,break_up,-0.111,conflict,True,97.33
73334,-1,break_dn,0.111,partial,True,87.15
73352,1,break_up,-0.111,conflict,True,85.53
