i,side,reason,confluence,agreement,taken,quality
22442,1,retest,0.778,partial,True,80.12
22457,1,retest,1.0,full,True,85.75
22477,1,retest,1.0,full,True,73.52
22505,1,retest,1.0,full,True,78.36
22521,-1,retest,-1.0,conflict,True,98.38
22553,1,retest,1.0,full,True,72.53
22575,1,retest,1.0,full,True,75.24
22594,1,retest,1.0,full,True,79.52
22620,-1,retest,-1.0,conflict,True,80.83
22647,1,retest,1.0,full,True,89.23
22696,1,retest,1.0,full,True,77.33
22699,1,retest,1.0,full,True,78.75
22721,1,retest,1.0,full,True,79.59
22744,1,retest,1.0,full,True,82.38
22798,1,retest,1.0,full,True,90.35
22841,-1,retest,-1.0,conflict,True,72.65
22896,1,retest,1.0,full,True,78.58
22912,1,retest,1.0,full,True,79.66
22964,1,retest,1.0,full,True,94.07
23016,1,retest,1.0,full,True,79.47
23040,1,retest,1.0,full,True,76.7
23061,1,retest,1.0,full,True,80.87
23100,1,retest,1.0,full,True,78.19
23142,1,retest,1.0,full,True,72.67
23167,1,retest,1.0,full,True,72.82
23176,1,retest,1.0,full,True,88.75
23221,-1,retest,-1.0,conflict,True,80.98
23240,-1,retest,-1.0,conflict,True,76.28
23282,-1,retest,-1.0,conflict,True,79.42
23302,1,retest,1.0,full,True,89.89
23343,-1,retest,-0.556,conflict,True,95.87
23413,-1,retest,-0.556,conflict,True,74.73
23450,1,retest,0.556,partial,True,90.66
23493,-1,retest,-0.778,conflict,True,93.3
23504,-1,retest,-0.556,conflict,True,75.58
23525,-1,retest,-0.556,conflict,True,70.79
23533,-1,retest,-0.556,conflict,True,81.28
23688,-1,retest,-1.0,conflict,True,95.47
23714,-1,retest,-0.778,conflict,True,78.18
23746,1,retest,1.0,full,True,88.48
23752,1,retest,1.0,full,True,81.36
23760,1,retest,1.0,full,True,81.62
23772,1,retest,1.0,full,True,80.29
23829,1,retest,1.0,full,True,77.67
23847,-1,retest,-1.0,conflict,True,93.17
23889,1,retest,1.0,full,True,94.09
23932,1,retest,1.0,full,True,94.88
23971,1,retest,1.0,full,True,80.42
24015,1,retest,1.0,full,True,71.09
24076,1,retest,1.0,full,True,90.72
24209,-1,retest,-1.0,conflict,True,78.83
24244,-1,retest,-0.556,conflict,True,83.04
24349,1,retest,1.0,full,True,93.35
24378,-1,retest,-0.556,conflict,True,78.27
24401,-1,retest,-0.556,conflict,True,66.9
24422,1,retest,0.556,partial,True,84.54
24451,1,retest,0.556,partial,True,72.6
24520,1,retest,0.778,partial,True,92.59
