i,side,reason,confluence,agreement,taken,quality
41240,1,break_up,0.556,partial,True,88.47
41248,1,break_up,0.556,partial,True,76.15
41259,-1,break_dn,-0.556,conflict,True,84.11
41372,1,break_up,0.111,partial,True,80.63
41398,-1,break_dn,-0.111,conflict,True,76.38
41410,-1,break_dn,-0.111,conflict,True,82.67
41416,-1,break_dn,-0.111,conflict,True,94.74
41437,-1,break_dn,-0.111,conflict,True,82.77
41445,-1,break_dn,0.222,partial,True,78.45
41483,1,break_up,0.556,partial,True,82.52
41506,1,break_up,0.556,partial,True,96.94
41512,1,break_up,0.556,partial,True,82.62
41559,-1,break_dn,-0.556,conflict,True,82.48
41585,-1,break_dn,-0.556,conflict,True,81.97
41605,-1,break_dn,-0.333,conflict,True,77.95
41618,-1,break_dn,-0.333,conflict,True,87.22
41652,-1,break_dn,-0.111,conflict,True,86.02
41680,-1,break_dn,-0.111,conflict,True,82.94
41721,-1,break_dn,-0.111,conflict,True,71.76
41729,-1,break_dn,-0.111,conflict,True,83.51
41800,1,break_up,-0.556,conflict,True,72.13
41850,1,break_up,-0.556,conflict,True,83.42
41869,-1,break_dn,0.556,partial,True,78.24
41879,-1,break_dn,0.556,partial,True,72.04
41915,1,break_up,-0.111,conflict,True,80.81
41943,1,break_up,0.222,partial,True,80.67
41988,1,break_up,0.556,partial,True,75.91
42021,1,break_up,0.556,partial,True,79.45
42059,-1,break_dn,-0.556,conflict,True,80.44
42063,-1,break_dn,-0.556,conflict,True,90.67
42084,-1,break_dn,-0.556,conflict,True,79.77
42112,-1,break_dn,-0.111,conflict,True,78.56
42121,-1,break_dn,-0.111,conflict,True,90.44
42179,1,break_up,-0.222,conflict,True,78.62
42219,1,break_up,-0.222,conflict,True,90.9
42252,1,break_up,-0.222,conflict,True,85.61
42388,1,break_up,0.556,partial,True,77.35
42444,-1,break_dn,0.556,partial,True,76.47
42465,-1,break_dn,0.556,partial,True,69.79
42468,-1,break_dn,0.556,partial,True,85.64
42492,-1,break_dn,0.556,partial,True,79.73
42512,-1,break_dn,0.556,partial,True,75.27
42546,-1,break_dn,0.556,partial,True,71.37
42590,1,break_up,-0.556,conflict,True,89.4
42688,1,break_up,-0.111,conflict,True,77.58
42732,1,break_up,-0.111,conflict,True,84.3
42756,-1,break_dn,0.111,partial,True,71.32
42772,-1,break_dn,0.111,partial,True,88.19
42780,-1,break_dn,0.111,partial,True,82.29
42798,-1,break_dn,0.556,partial,True,82.17
42843,1,break_up,-1.0,conflict,True,80.79
42879,-1,break_dn,1.0,full,True,92.29
42940,1,break_up,-1.0,conflict,True,81.51
42998,1,break_up,-0.778,conflict,True,81.16
43097,1,break_up,-0.222,conflict,True,92.99
43117,1,break_up,0.556,partial,True,77.65
43140,1,break_up,0.556,partial,True,93.61
43168,1,break_up,0.556,partial,True,73.24
43245,1,break_up,0.556,partial,True,80.37
43357,1,break_up,1.0,full,True,95.26
43407,1,break_up,1.0,full,True,78.02
43433,-1,break_dn,-1.0,conflict,True,71.48
43460,1,break_up,1.0,full,True,87.62
43559,-1,break_dn,-1.0,conflict,True,75.75
43633,-1,break_dn,-0.556,conflict,True,97.33
43646,-1,break_dn,-0.556,conflict,True,92.72
43721,1,break_up,0.556,partial,True,90.72
43790,-1,break_dn,-0.556,conflict,True,84.52
43802,1,break_up,0.556,partial,True,83.45
43816,1,break_up,0.556,partial,True,81.49
43831,1,break_up,0.556,partial,True,82.95
43862,1,break_up,1.0,full,True,72.01
43900,1,break_up,1.0,full,True,82.02
43932,-1,break_dn,-1.0,conflict,True,85.14
43968,-1,break_dn,-1.0,conflict,True,70.68
44008,-1,break_dn,-1.0,conflict,True,96.19
44032,1,break_up,1.0,full,True,75.16
44045,1,break_up,1.0,full,True,91.88
44095,1,break_up,1.0,full,True,81.46
44137,1,break_up,1.0,full,True,84.04
44186,1,break_up,1.0,full,True,65.3
44222,1,break_up,1.0,full,True,84.52
44318,1,break_up,1.0,full,True,87.22
44452,-1,break_dn,-1.0,conflict,True,84.54
44514,1,break_up,1.0,full,True,79.2
44574,1,break_up,1.0,full,True,91.05
44579,1,break_up,1.0,full,True,64.69
44591,1,break_up,1.0,full,True,79.74
44627,1,break_up,1.0,full,True,71.13
44640,1,break_up,1.0,full,True,81.45
44751,-1,break_dn,-1.0,conflict,True,72.52
44824,1,break_up,1.0,full,True,91.64
44840,1,break_up,1.0,full,True,79.81
44892,-1,break_dn,-1.0,conflict,True,75.53
44934,1,break_up,1.0,full,True,94.81
44956,-1,break_dn,-1.0,conflict,True,83.04
45093,-1,break_dn,-0.556,conflict,True,76.2
45156,-1,break_dn,-0.556,conflict,True,94.49
45181,1,break_up,0.556,partial,True,86.82
45239,1,break_up,0.556,partial,True,77.78
45258,1,break_up,1.0,full,True,79.98
45277,1,break_up,1.0,full,True,92.97
45360,-1,break_dn,-1.0,conflict,True,76.08
45377,-1,break_dn,-0.556,conflict,True,73.41
45440,-1,break_dn,-0.556,conflict,True,82.99
45476,-1,break_dn,-0.556,conflict,True,92.02
45512,1,break_up,0.222,partial,True,91.78
45528,1,break_up,0.222,partial,True,82.58
45548,1,break_up,0.222,partial,True,89.77
45562,1,break_up,0.222,partial,True,80.97
45611,1,break_up,0.667,partial,True,73.05
45627,1,break_up,1.0,full,True,80.35
45655,1,break_up,1.0,full,True,69.94
45672,1,break_up,1.0,full,True,80.08
45715,-1,break_dn,-1.0,conflict,True,76.81
45743,-1,break_dn,-0.556,conflict,True,92.44
45783,1,break_up,0.556,partial,True,92.38
45850,-1,break_dn,-0.556,conflict,True,84.05
45898,1,break_up,1.0,full,True,96.59
45941,-1,break_dn,-1.0,conflict,True,88.51
45978,-1,break_dn,-0.556,conflict,True,69.45
46000,-1,break_dn,-0.556,conflict,True,76.9
46036,1,break_up,0.222,partial,True,76.24
46057,-1,break_dn,-0.222,conflict,True,95.7
46102,1,break_up,-0.111,conflict,True,79.34
46172,-1,break_dn,0.111,partial,True,70.88
46184,-1,break_dn,0.111,partial,True,80.83
46189,-1,break_dn,0.111,partial,True,82.96
46204,-1,break_dn,0.111,partial,True,78.6
46243,-1,break_dn,0.111,partial,True,73.84
46308,1,break_up,-0.111,conflict,True,66.1
46329,1,break_up,-0.111,conflict,True,81.75
46334,1,break_up,-0.111,conflict,True,73.55
46339,1,break_up,0.111,partial,True,81.09
46446,1,break_up,0.333,partial,True,73.38
46475,1,break_up,0.667,partial,True,76.91
46521,-1,break_dn,-1.0,conflict,True,81.07
46591,-1,break_dn,-1.0,conflict,True,84.86
46649,1,break_up,1.0,full,True,78.46
46670,1,break_up,1.0,full,True,76.92
46714,1,break_up,1.0,full,True,73.84
46756,1,break_up,1.0,full,True,82.7
46861,-1,break_dn,-0.556,conflict,True,87.61
46884,-1,break_dn,-0.556,conflict,True,80.16
46909,1,break_up,0.556,partial,True,93.62
46952,1,break_up,0.556,partial,True,96.17
46992,-1,break_dn,-0.556,conflict,True,87.96
47053,1,break_up,0.556,partial,True,80.74
47104,1,break_up,0.556,partial,True,78.44
47219,1,break_up,1.0,full,True,83.07
47268,-1,break_dn,-1.0,conflict,True,83.16
47293,1,break_up,1.0,full,True,91.69
47302,1,break_up,1.0,full,True,85.47
47314,1,break_up,1.0,full,True,84.01
47356,1,break_up,1.0,full,True,76.42
47384,-1,break_dn,-1.0,conflict,True,78.17
47429,-1,break_dn,-1.0,conflict,True,77.02
47486,-1,break_dn,-0.556,conflict,True,67.67
47492,-1,break_dn,-0.556,conflict,True,81.31
47550,-1,break_dn,-0.222,conflict,True,74.36
47580,1,break_up,-0.111,conflict,True,93.86
47644,-1,break_dn,0.111,partial,True,94.03
47683,-1,break_dn,0.111,partial,True,80.25
47724,1,break_up,-0.111,conflict,True,82.52
47779,-1,break_dn,0.111,partial,True,85.6
47791,-1,break_dn,0.111,partial,True,87.23
47828,-1,break_dn,0.111,partial,True,63.53
47906,1,break_up,-0.111,conflict,True,91.27
47930,1,break_up,-0.111,conflict,True,78.55
47967,1,break_up,0.333,partial,True,75.28
48024,-1,break_dn,0.111,partial,True,70.93
48035,1,break_up,-0.111,conflict,True,79.53
48070,1,break_up,0.111,partial,True,81.21
48175,1,break_up,0.333,partial,True,82.45
48186,-1,break_dn,-0.333,conflict,True,76.18
48242,-1,break_dn,-0.333,conflict,True,70.38
48254,1,break_up,0.333,partial,True,93.19
48299,1,break_up,0.333,partial,True,95.84
48314,-1,break_dn,-0.333,conflict,True,92.91
48328,-1,break_dn,-0.333,conflict,True,79.15
48346,-1,break_dn,-0.333,conflict,True,70.63
48384,-1,break_dn,0.111,partial,True,88.12
48396,-1,break_dn,0.111,partial,True,73.95
48420,1,break_up,-0.111,conflict,True,92.1
48452,-1,break_dn,-0.111,conflict,True,94.9
48504,1,break_up,-0.111,conflict,True,88.67
48520,1,break_up,-0.111,conflict,True,90.45
48587,1,break_up,0.667,partial,True,74.79
48614,1,break_up,0.667,partial,True,97.15
48630,-1,break_dn,-0.667,conflict,True,86.05
48638,-1,break_dn,-0.667,conflict,True,99.74
48680,1,break_up,0.667,partial,True,91.52
48695,1,break_up,1.0,full,True,79.21
48721,1,break_up,1.0,full,True,96.08
48752,1,break_up,1.0,full,True,94.75
48756,1,break_up,1.0,full,True,83.05
48878,-1,break_dn,-0.556,conflict,True,77.0
48883,-1,break_dn,-0.556,conflict,True,78.6
48960,1,break_up,0.556,partial,True,72.51
