i,side,reason,confluence,agreement,taken,quality,dist_atr
34691,1,bounce_support,1.0,full,True,95.36,0.2028334882258543
34721,1,bounce_support,1.0,full,True,96.81,0.41814320981928943
34844,-1,bounce_resistance,-0.556,conflict,True,85.73,0.08045906204977063
34875,-1,bounce_resistance,-0.556,conflict,True,95.75,0.344212611163612
34887,-1,bounce_resistance,-0.556,conflict,True,97.88,0.03172720814144308
34932,-1,bounce_resistance,-0.556,conflict,True,91.02,0.1335572234323385
34966,-1,bounce_resistance,-0.556,conflict,True,91.39,0.45684781780809325
34973,-1,bounce_resistance,-0.556,conflict,True,90.65,0.033314859151542496
34984,-1,bounce_resistance,-0.556,conflict,True,96.09,0.18005319070739867
35050,1,bounce_support,0.556,partial,True,83.98,0.29064332088267447
35053,1,bounce_support,0.556,partial,True,88.23,0.2218795894030456
35078,1,bounce_support,0.556,partial,True,95.89,0.2882111851305996
35099,-1,bounce_resistance,-0.556,conflict,True,98.64,0.19087090831747347
35125,1,bounce_support,1.0,full,True,89.56,0.062196742466294246
35148,1,bounce_support,1.0,full,True,98.16,0.3529385713307745
35158,1,bounce_support,1.0,full,True,96.18,0.4597815873704616
35223,1,bounce_support,1.0,full,True,99.43,0.21801179859084405
35224,1,bounce_support,1.0,full,True,98.45,0.26047896264558773
35239,-1,bounce_resistance,-1.0,conflict,True,86.27,0.2754121332799651
35250,-1,bounce_resistance,-1.0,conflict,True,86.34,0.31261158896041924
35318,1,bounce_support,0.556,partial,True,85.75,0.13424102935182092
35324,1,bounce_support,0.556,partial,True,97.76,0.38416868719352776
35327,1,bounce_support,0.556,partial,True,97.21,0.388889789745551
35330,1,bounce_support,0.556,partial,True,97.14,0.3345951340749792
35421,-1,bounce_resistance,0.111,partial,True,74.88,0.49054989609384814
35474,-1,bounce_resistance,0.111,partial,True,100.0,0.07968796095478965
35503,1,bounce_support,-0.111,conflict,True,88.9,0.09997922604181012
35577,-1,bounce_resistance,-0.111,conflict,True,95.73,0.14808477559458297
35578,-1,bounce_resistance,-0.111,conflict,True,96.08,0.07728323041030252
35610,1,bounce_support,0.333,partial,True,87.09,0.42798969445699514
35674,-1,bounce_resistance,-0.333,conflict,True,97.35,0.43351852268827284
35680,-1,bounce_resistance,-0.333,conflict,True,98.71,0.3233122535886346
35722,-1,bounce_resistance,-0.333,conflict,True,88.2,0.2778466665537214
35730,-1,bounce_resistance,-0.333,conflict,True,84.16,0.13165726227164
35787,1,bounce_support,0.333,partial,True,91.65,0.3537863235010416
35816,-1,bounce_resistance,-0.333,conflict,True,70.79,0.1463586693538386
35821,-1,bounce_resistance,-0.333,conflict,True,96.5,0.40328627183326
35861,-1,bounce_resistance,0.111,partial,True,87.72,0.28938986188283594
35884,1,bounce_support,-0.111,conflict,True,82.58,0.37366365215580116
35990,-1,bounce_resistance,0.111,partial,True,54.7,0.37605292031357584
35999,-1,bounce_resistance,0.111,partial,True,72.84,0.34961903541178807
36009,-1,bounce_resistance,0.111,partial,True,82.69,0.3196290886369541
36034,-1,bounce_resistance,0.111,partial,True,94.41,0.4078736161383546
36079,1,bounce_support,-0.111,conflict,True,85.68,0.32797125022155527
36143,1,bounce_support,-0.111,conflict,True,69.35,0.06696294700526088
36147,1,bounce_support,-0.111,conflict,True,85.0,0.11184299807478776
36167,-1,bounce_resistance,0.111,partial,True,92.96,0.32432553100625466
36298,-1,bounce_resistance,0.111,partial,True,74.06,0.42152022112481
