time,cash,unrealised,equity,exposure
2011-10-08,24043.594228038,320.0947940218731,24363.689022059873,-0.05
2011-10-10,24043.594228038,323.5658470323114,24367.16007507031,-0.05
2011-10-11,24043.594228038,317.8106142193918,24361.40484225739,-0.05
2011-10-12,24043.594228038,279.08781247935565,24322.682040517357,-0.05
2011-10-13,24043.594228038,295.18564591623755,24338.779873954238,-0.05
2011-10-14,24043.594228038,276.87308926759835,24320.4673173056,-0.05
2011-10-15,24043.594228038,270.99927813179136,24314.593506169793,-0.05
2011-10-17,24043.594228038,293.6224793308896,24337.21670736889,-0.05
2011-10-18,24043.594228038,300.63217794273197,24344.22640598073,-0.05
2011-10-19,24043.594228038,299.08080870400954,24342.67503674201,-0.05
2011-10-20,24043.594228038,301.14941790332324,24344.743645941322,-0.05
2011-10-21,24043.594228038,336.04766039977295,24379.641888437774,-0.05
2011-10-22,24043.594228038,332.34592162305506,24375.940149661055,-0.05
2011-10-24,24043.594228038,342.397175091055,24385.991403129054,-0.05
2011-10-25,24043.594228038,340.5247612375649,24384.118989275565,-0.05
2011-10-26,24043.594228038,337.9275721981477,24381.521800236147,-0.05
2011-10-27,24043.594228038,351.2822509086624,24394.876478946662,-0.05
2011-10-28,24043.594228038,351.514582418675,24395.108810456677,-0.05
2011-10-29,24043.594228038,352.95378150042757,24396.548009538426,-0.05
2011-10-31,24043.594228038,206.3047999214427,24249.899027959444,-0.05
2011-11-01,24043.594228038,190.25675467025434,24233.850982708256,-0.05
2011-11-02,24043.594228038,214.5642489430463,24258.158476981047,-0.05
2011-11-03,24043.594228038,214.15196405776453,24257.746192095765,-0.05
2011-11-04,24043.594228038,202.30571965159172,24245.89994768959,-0.05
2011-11-05,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-07,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-08,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-09,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-10,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-11,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-14,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-15,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-16,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-17,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-18,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-19,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-21,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-22,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-23,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-24,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-25,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-26,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-28,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-29,24243.395298420986,0.0,24243.395298420986,0.0
2011-11-30,24243.395298420986,0.0,24243.395298420986,0.0
2011-12-01,24243.395298420986,0.0,24243.395298420986,0.0
2011-12-02,24243.395298420986,0.0,24243.395298420986,0.0
2011-12-05,24243.395298420986,0.0,24243.395298420986,0.0
2011-12-06,24243.395298420986,0.0,24243.395298420986,0.0
2011-12-07,24243.395298420986,0.0,24243.395298420986,0.0
